StimuliName,Vote,PresentationTime,DecisionTime
soldier_ply_TMC1-rahtN_r6_rotate2.mp4,83,9.98,1.36
AxeGuy_ply_TMC1-rahtN_r3_rotate2.mp4,16,10.01,0.61
loot_ply_TMC1-rahtN_r4_rotate2.mp4,70,10.01,0.49
redandblack_ply_TMC1-rahtN_r2_rotate2.mp4,0,9.99,0.58
LubnaFriends_ply_TMC1-rahtN_r5_rotate2.mp4,41,10.03,1.42
Matis_ply_TMC1-rahtN_r1_rotate2.mp4,11,10.00,1.16
soldier_ply_TMC1-rahtN_r3_rotate2.mp4,23,10.01,0.63
longdress_ply_TMC1-rahtN_r2_rotate2.mp4,13,10.00,0.73
loot_ply_TMC1-rahtN_r5_rotate2.mp4,93,10.01,1.03
soldier_ply_TMC2-allIntraN_r5_rotate2.mp4,91,10.01,0.80
redandblack_ply_TMC2-allIntraN_r5_rotate2.mp4,70,10.02,0.83
AxeGuy_obj_orig_rotate2.mp4,89,10.01,0.97
redandblack_ply_TMC2-allIntraN_r4_rotate2.mp4,65,10.00,0.85
loot_ply_TMC2-allIntraN_r1_rotate2.mp4,23,10.01,1.08
longdress_ply_TMC2-randomAcN_r2_rotate2.mp4,36,10.00,1.05
loot_ply_TMC1-rahtN_r6_rotate2.mp4,65,10.01,0.95
soldier_ply_TMC2-allIntraN_r1_rotate2.mp4,22,10.01,0.98
longdress_ply_TMC2-allIntraN_r2_rotate2.mp4,28,10.02,1.45
LubnaFriends_ply_TMC1-rahtN_r3_rotate2.mp4,9,10.00,0.68
longdress_ply_TMC1-rahtN_r6_rotate2.mp4,35,10.01,2.02
redandblack_ply_TMC2-randomAcN_r3_rotate2.mp4,62,10.00,1.07
loot_ply_TMC2-allIntraN_r4_rotate2.mp4,77,10.01,1.07
soldier_ply_orig_rotate2.mp4,83,10.01,0.61
redandblack_ply_TMC1-rahtN_r2_rotate2.mp4,5,10.01,1.12
AxeGuy_ply_TMC1-rahtN_r5_rotate2.mp4,43,10.00,0.88
redandblack_ply_TMC2-allIntraN_r3_rotate2.mp4,68,10.01,0.61
LubnaFriends_obj_orig_rotate2.mp4,72,10.01,0.63
soldier_ply_TMC2-randomAcN_r3_rotate2.mp4,72,10.02,0.75
longdress_ply_TMC2-allIntraN_r5_rotate2.mp4,71,10.01,0.91
Rafa2_ply_TMC1-rahtN_r1_rotate2.mp4,5,10.00,0.60
soldier_ply_TMC1-rahtN_r2_rotate2.mp4,11,10.02,0.83
loot_ply_TMC2-allIntraN_r2_rotate2.mp4,69,10.03,0.83
longdress_ply_TMC2-allIntraN_r1_rotate2.mp4,46,10.01,0.65
redandblack_ply_TMC2-randomAcN_r1_rotate2.mp4,37,10.01,0.70
longdress_ply_TMC1-rahtN_r4_rotate2.mp4,51,10.01,0.56
loot_ply_TMC1-rahtN_r2_rotate2.mp4,10,10.00,1.08
Matis_obj_Draco-JPEG_lev5_rotate2.mp4,71,10.02,0.98
loot_ply_TMC2-allIntraN_r3_rotate2.mp4,78,10.01,1.48
longdress_ply_TMC2-randomAcN_r5_rotate2.mp4,77,10.01,1.28
Matis_obj_Draco-JPEG_lev2_rotate2.mp4,22,10.02,1.21
longdress_ply_TMC1-rahtN_r1_rotate2.mp4,7,10.01,0.88
LubnaFriends_ply_TMC1-rahtN_r1_rotate2.mp4,8,10.01,0.95
soldier_ply_TMC1-rahtN_r6_rotate2.mp4,77,10.00,0.92
Matis_obj_orig_rotate2.mp4,77,10.00,0.98
redandblack_ply_TMC1-rahtN_r3_rotate2.mp4,23,10.02,0.70
loot_ply_TMC1-rahtN_r1_rotate2.mp4,6,10.02,0.95
AxeGuy_obj_Draco-JPEG_lev5_rotate2.mp4,83,10.00,1.43
redandblack_ply_TMC1-rahtN_r1_rotate2.mp4,6,9.99,1.10
loot_ply_TMC2-randomAcN_r2_rotate2.mp4,49,10.01,0.71
soldier_ply_TMC2-allIntraN_r2_rotate2.mp4,63,10.02,0.50
Matis_ply_orig_rotate2.mp4,57,10.01,1.66
Rafa2_ply_TMC1-rahtN_r5_rotate2.mp4,64,10.00,1.13
loot_ply_orig_rotate2.mp4,93,10.02,1.05
longdress_ply_TMC2-randomAcN_r1_rotate2.mp4,35,10.00,0.66
soldier_ply_TMC1-rahtN_r1_rotate2.mp4,6,10.00,0.93
Matis_ply_TMC1-rahtN_r1_rotate2.mp4,8,10.01,0.88
redandblack_ply_TMC1-rahtN_r5_rotate2.mp4,63,10.00,0.87
AxeGuy_obj_Draco-JPEG_lev2_rotate2.mp4,13,10.01,1.03
soldier_ply_TMC2-randomAcN_r5_rotate2.mp4,81,10.01,0.98
redandblack_ply_orig_rotate2.mp4,68,10.01,1.16
LubnaFriends_ply_TMC1-rahtN_r5_rotate2.mp4,46,10.00,1.40
Matis_ply_TMC1-rahtN_r5_rotate2.mp4,63,10.01,0.63
redandblack_ply_TMC2-allIntraN_r1_rotate2.mp4,27,10.01,0.85
longdress_ply_TMC1-rahtN_r3_rotate2.mp4,33,10.02,0.83
redandblack_ply_TMC1-rahtN_r4_rotate2.mp4,51,10.00,0.60
longdress_ply_TMC2-randomAcN_r3_rotate2.mp4,47,10.01,0.66
redandblack_ply_TMC2-randomAcN_r4_rotate2.mp4,53,10.01,0.70
LubnaFriends_obj_Draco-JPEG_lev2_rotate2.mp4,29,10.01,0.92
redandblack_ply_TMC2-randomAcN_r2_rotate2.mp4,54,10.01,0.60
Rafa2_ply_TMC1-rahtN_r3_rotate2.mp4,32,10.01,0.95
loot_ply_TMC2-randomAcN_r5_rotate2.mp4,98,10.01,1.17
Rafa2_obj_orig_rotate2.mp4,89,10.01,0.97
redandblack_ply_TMC1-rahtN_r6_rotate2.mp4,65,10.01,0.80
soldier_ply_TMC2-randomAcN_r4_rotate2.mp4,71,10.01,0.71
loot_ply_TMC1-rahtN_r3_rotate2.mp4,37,10.01,0.61
AxeGuy_ply_TMC1-rahtN_r1_rotate2.mp4,3,10.01,1.20
